日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,风险调整R平方趋势得分,因子排名,排名百分比
2025-01-02,2024-12-31,513030.SH,华安德国(DAX)ETF,GDAXI.GI,德国法兰克福DAX指数,40,2024-11-01,2025-01-02,19254.97,20024.66,0.00175991009651424,0.0399735756534545,0.0505371203721863,0.640728967314203,0.0256122278482941,0.790974542258535,0.506800301633135,1,0.0555555555555556
2025-01-02,2024-12-31,159941.SZ,广发纳指100ETF,XNDX.GI,纳斯达克100总收益指数,40,2024-11-05,2025-01-02,24393.6516,25332.0812,0.00113624691944114,0.0384702387075169,0.0725570981404906,0.404174829013344,0.0155487021517132,0.530206412514291,0.214296086119742,2,0.111111111111111
2025-01-02,2024-12-31,159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),SPSIOP.GI,标普石油天然气勘探及生产精选行业指数,40,2024-11-05,2025-01-02,5134.59,5214.34,-0.00287771101226995,0.0155319119929731,0.10211802332352,0.502881062688278,0.00781070440860713,0.152097656099027,0.0764870309314749,3,0.166666666666667
2025-01-02,2024-12-31,513880.SH,华安日经225ETF,N225.GI,东京日经225指数,40,2024-11-05,2024-12-30,38474.9,39894.54,0.000498238788578533,0.0368978216967426,0.0571477755389016,0.170556184773277,0.00629315169504105,0.645656306808049,0.110120676363985,4,0.222222222222222
2025-01-02,2024-12-31,513730.SH,华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII),ASIATECN.GI,新交所泛东南亚科技指数(净总收益),40,2024-11-07,2025-01-02,4618.285,4658.453,0.00040880679836353,0.0086976009492703,0.0632839825457793,0.0689255347055707,0.000599486796084135,0.137437635865892,0.00947296254072616,5,0.277777777777778
2025-01-02,2024-12-31,513500.SH,博时标普500ETF,SPTR500N.GI,标普500指数(净总收益),40,2024-11-05,2025-01-02,10963.14,11144.79,0.000196656753994276,0.0165691581061631,0.05292519299542,0.0323225607261024,0.000535557619066849,0.313067504687171,0.0101191434316204,6,0.333333333333333
2025-01-02,2024-12-31,513080.SH,华安法国CAC40ETF,FCHI.GI,法国巴黎CAC40指数,40,2024-11-05,2025-01-02,7407.15,7393.76,0.000223304445490028,-0.00180771281802039,0.0505035385637077,0.0509639737265568,-9.21282285627512e-05,-0.0357937853352602,-0.00182419353540022,7,0.388888888888889
2025-01-02,2024-12-31,159691.SZ,港股红利ETF工,930839.CSI,中证港股通高股息精选指数,40,2024-11-05,2025-01-02,2943.904,2835.8533,8.28882295895062e-05,-0.0367032009195951,0.0667885299260372,0.00258012863123702,-9.46989795506923e-05,-0.549543476405917,-0.00141789285758443,8,0.444444444444444
2025-01-02,2024-12-31,513180.SH,华夏恒生科技ETF(QDII),HSTECH.HK,恒生科技指数,40,2024-11-05,2025-01-02,4693.85,4357.53,-0.000132228651036433,-0.0716512031701056,0.110000161258862,0.00320410525373493,-0.000229577996513765,-0.651373619366699,-0.00208706963595718,9,0.5
2025-01-02,2024-12-31,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,40,2024-11-05,2025-01-02,21006.97,19623.32,-0.000251023098920297,-0.065866233921408,0.0801583627754964,0.0170187477027108,-0.00112096081723618,-0.821701337711736,-0.013984327753496,10,0.555555555555556
