日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,因子排名,排名百分比
2025-01-02,2024-12-31,512800.SH,华宝中证银行ETF,399986.SZ,中证银行指数,15,2024-12-12,2025-01-02,6926.3022,6963.9339,0.00328179990110887,0.00543315883618245,0.0471190188828961,0.602636174547964,0.00327421805674846,0.115307130008062,1,0.0256410256410256
2025-01-02,2024-12-31,159819.SZ,易方达中证人工智能主题ETF,930713.CSI,中证人工智能主题指数,15,2024-12-12,2025-01-02,3247.9504,3031.6224,-1.00756351158907e-06,-0.0666044653883877,0.082723429418723,2.71976795529483e-08,-1.8114869064288e-09,-0.805146327423811,2,0.0512820512820513
2025-01-02,2024-12-31,159996.SZ,国泰中证全指家用电器ETF,930697.CSI,中证全指家用电器指数,15,2024-12-12,2025-01-02,11666.7278,11223.424,-0.000200443629571925,-0.0379972694657366,0.0441883786788321,0.00575610760399692,-0.000218716371702846,-0.859892818016848,3,0.0769230769230769
2025-01-02,2024-12-31,159732.SZ,华夏国证消费电子主题ETF,980030.SZ,国证消费电子主题指数,15,2024-12-12,2025-01-02,5351.4498,5115.4078,0.000677777413582461,-0.0441080471314522,0.0772171550285873,0.0201295664537828,-0.000887875865879153,-0.571220826707777,4,0.102564102564103
2025-01-02,2024-12-31,510880.SH,华泰柏瑞上证红利ETF,000015.SH,上证红利指数,15,2024-12-12,2025-01-02,3168.8223,3130.0146,0.000625074674453292,-0.0122467264888915,0.0403359755786611,0.101912671234998,-0.00124809661036734,-0.303617956754474,5,0.128205128205128
2025-01-02,2024-12-31,510300.SH,华泰柏瑞沪深300ETF,000300.SH,沪深300指数,15,2024-12-12,2025-01-02,4028.5048,3820.3952,-0.000463508620320172,-0.0516592657404803,0.0433064523676485,0.0275076495677621,-0.00142102497891703,-1.19287687899071,6,0.153846153846154
2025-01-02,2024-12-31,588000.SH,华夏上证科创板50成份ETF,000688.SH,上证科创板50成份指数,15,2024-12-12,2025-01-02,1010.8952,955.3334,0.000787259760353994,-0.0549629674767474,0.0646548989101558,0.0264016900536277,-0.00145111523174871,-0.850097493047259,7,0.179487179487179
2025-01-02,2024-12-31,516110.SH,国泰中证800汽车与零部件ETF,H30015.CSI,中证800汽车与零部件指数,15,2024-12-12,2025-01-02,9143.7491,8793.2554,0.00071465635950693,-0.038331508899342,0.0542545298841684,0.0458230172891675,-0.00175646539501443,-0.706512598693206,8,0.205128205128205
2025-01-02,2024-12-31,510050.SH,华夏上证50ETF,000016.SH,上证50指数,15,2024-12-12,2025-01-02,2702.2681,2610.342,0.000614124826924402,-0.0340181272169108,0.043805376310763,0.0526183829082656,-0.0017899788437215,-0.776574249141938,9,0.230769230769231
2025-01-02,2024-12-31,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证全指通信设备指数,15,2024-12-12,2025-01-02,6915.2335,6628.1194,0.00148431194216459,-0.0415190752416387,0.0826372868848143,0.0670111343936894,-0.00278224033091915,-0.502425440219388,10,0.256410256410256
2025-01-02,2024-12-31,510230.SH,国泰上证180金融ETF,000018.SH,上证180金融股指数,15,2024-12-12,2025-01-02,5460.4463,5243.6028,0.000944942208226005,-0.0397116807100548,0.052414215676051,0.0768649769276001,-0.00305243742153458,-0.757650957814481,11,0.282051282051282
