日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,风险调整R平方趋势得分,因子排名,排名百分比
2021-02-01,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,20,2021-01-05,2021-02-01,13828.9694,15633.2347,0.00894073297213767,0.130469975586178,0.11224648359004,0.764872393917977,0.0997928825610198,1.16235245339797,0.889051303606936,1,0.2
2021-02-01,2021-01-29,513900.SH,华安CES港股通精选100ETF,CES100.CSI,中华交易服务港股通精选100指数,20,2021-01-05,2021-02-01,6784.6666,7186.8439,0.00400974394561167,0.0592773858629989,0.074197289048287,0.50332413319017,0.0298357388572732,0.798915790904728,0.402113597949061,2,0.4
2021-02-01,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,20,2021-01-04,2021-02-01,14847.7545,15499.2923,0.00230302528838674,0.0438812347011799,0.0659606647608123,0.473629240501499,0.0207834358637878,0.665263681927749,0.31508833240467,3,0.6
2021-02-01,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,20,2021-01-05,2021-02-01,27649.86,28892.86,0.00318351756013052,0.0449550196637523,0.0648234186755396,0.432158527154857,0.0194276950861048,0.693499673146913,0.299701797329545,4,0.8
2021-02-01,2021-01-29,513500.SH,博时标普500ETF,SPTR500N.GI,标普500指数(净总收益),20,2021-01-04,2021-02-01,6735.12,6873.16,0.000537493488600732,0.0204955516753971,0.0470584528747314,0.0647670192305259,0.00132743578950068,0.435533903546634,0.0282082327065508,5,1
2021-02-02,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,20,2021-01-06,2021-02-02,13600.4501,15792.088,0.00917603519603943,0.161144512415806,0.109536337368064,0.782281965210194,0.126060445855475,1.47115118405255,1.15085503938193,1,0.2
2021-02-02,2021-01-29,513900.SH,华安CES港股通精选100ETF,CES100.CSI,中华交易服务港股通精选100指数,20,2021-01-06,2021-02-02,6800.3316,7306.1731,0.00386175356435318,0.0743848285280675,0.0753891513236784,0.483442790291202,0.0359608090589416,0.986678152254309,0.477002439045191,2,0.4
2021-02-02,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,20,2021-01-05,2021-02-02,14975.043,15741.9088,0.0022915260110581,0.0512095891811462,0.0670346265674683,0.471744033735702,0.0241578181662621,0.763927417863741,0.360378201584341,3,0.6
2021-02-02,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,20,2021-01-06,2021-02-02,27692.3,29248.7,0.00284170424901388,0.0562033489453748,0.0655600202932807,0.375070206871186,0.0210802017157952,0.857280835087465,0.321540500162959,4,0.8
2021-02-02,2021-01-29,513500.SH,博时标普500ETF,SPTR500N.GI,标普500指数(净总收益),20,2021-01-05,2021-02-02,6783.39,6968.75,0.000275121205969142,0.0273255702532214,0.0484348283140847,0.0212265510269116,0.000580027611319461,0.56417192347671,0.0119754241216293,5,1
