日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,风险调整R平方趋势得分,因子排名,排名百分比
2021-02-01,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,40,2020-12-08,2021-02-01,13689.5608,15633.2347,0.00399040355562392,0.14198219565963,0.150959646374476,0.568894546053851,0.0807728967475143,0.940530791304478,0.53506283756883,1,0.333333333333333
2021-02-01,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,40,2020-12-04,2021-02-01,26835.92,28892.86,0.00345799170708436,0.0766487603182602,0.074376106331033,0.793223523003946,0.0607995996935354,1.03055623774001,0.817461449553821,2,0.666666666666667
2021-02-01,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,40,2020-12-03,2021-02-01,14575.3107,15499.2923,0.00174703183895602,0.0633936125972256,0.073778106953123,0.756898896916145,0.0479825554463695,0.859246939441053,0.650363060641507,3,1
2021-02-02,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,40,2020-12-09,2021-02-02,13633.396,15792.088,0.00433209695878457,0.15833853868838,0.150877539578274,0.616710489671875,0.0976490377284397,1.04945069445698,0.64720725166505,1,0.333333333333333
2021-02-02,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,40,2020-12-07,2021-02-02,26506.85,29248.7,0.00355717068823752,0.103439299652731,0.0736080796324222,0.816259731677688,0.0844333349794664,1.40527099972283,1.14706612916819,2,0.666666666666667
2021-02-02,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,40,2020-12-04,2021-02-02,14647.0394,15741.9088,0.00180200407654169,0.0747502188053102,0.0750370099838238,0.765124859830768,0.0571932506857322,0.996178003646794,0.762200555406747,3,1
2021-02-03,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,40,2020-12-10,2021-02-03,13696.6662,16130.5954,0.00470876518226695,0.177702308317918,0.151875464128439,0.659922265472121,0.117269709884786,1.17005277539522,0.772143878260758,1,0.333333333333333
2021-02-03,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,40,2020-12-08,2021-02-03,26304.56,29307.46,0.00360008530126052,0.114158913891736,0.0728610023794022,0.824609448017182,0.0941365189705053,1.56680405379666,1.29200142595235,2,0.666666666666667
2021-02-03,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,40,2020-12-07,2021-02-03,14726.5718,15679.0337,0.0018467698113054,0.064676417087105,0.0751763245015841,0.775755704838821,0.0501730995238567,0.86032959865898,0.667405594201397,3,1
2021-02-04,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,40,2020-12-11,2021-02-04,13742.1098,16148.4475,0.00507573182220514,0.175106860228988,0.151909058407345,0.703523078536965,0.123191717381239,1.15270848272549,0.810957020422708,1,0.333333333333333
2021-02-04,2021-01-29,159920.SZ,华夏恒生ETF,HSI.HK,香港恒生指数,40,2020-12-09,2021-02-04,26502.84,29113.5,0.00357039783776968,0.0985049149449644,0.0732984809387567,0.818912407670965,0.0806668970650044,1.3438875360496,1.10052617778538,2,0.666666666666667
2021-02-04,2021-01-29,513100.SH,国泰纳斯达克100(QDII-ETF),XNDX.GI,纳斯达克100总收益指数,40,2020-12-08,2021-02-04,14772.6797,15866.6388,0.00194310509750473,0.0740528544729768,0.0758673673569748,0.793939700736678,0.058793501118972,0.976083091489649,0.774951117551424,3,1
2021-02-05,2021-01-29,513050.SH,易方达中证海外中国互联网50(QDII-ETF),H30533.CSI,中证海外中国互联网50指数,40,2020-12-14,2021-02-05,13429.6364,16185.6667,0.0054329656772293,0.205220023678377,0.14935467480078,0.74645009248327,0.153186505654144,1.3740448630223,1.02565591507916,1,0.333333333333333
