日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,风险调整R平方趋势得分,因子排名,排名百分比
2026-01-05,2025-12-31,515880.SH,国泰中证全指通信设备ETF,931160.CSI,中证全指通信设备指数,40,2025-11-07,2026-01-05,13689.9739,15742.6846,0.00593141646848122,0.149942630642999,0.158137058423633,0.774196155695841,0.116085008218731,0.948181483440261,0.73407845938143,1,0.0169491525423729
2026-01-05,2025-12-31,512710.SH,富国中证军工龙头ETF,931066.CSI,中证军工龙头指数,40,2025-11-07,2026-01-05,3023.5562,3540.6481,0.00311267995968621,0.171021097606851,0.100483619352827,0.53826941744994,0.092055426580489,1.70197987202618,0.916123714227052,2,0.0338983050847458
2026-01-05,2025-12-31,512400.SH,南方中证申万有色金属ETF,000819.SH,中证申万有色金属指数,40,2025-11-07,2026-01-05,8433.6873,9597.6053,0.00273683294559871,0.138008199568888,0.129927390312975,0.545998906511377,0.075352326054217,1.06219480924267,0.57995720434856,3,0.0508474576271186
2026-01-05,2025-12-31,159502.SZ,嘉实标普生物科技精选行业ETF(QDII),SPSIBI.GI,标普生物科技精选行业指数,40,2025-11-06,2026-01-05,8519.28,9387.7,0.00288724413157625,0.101935844343654,0.0916585464825557,0.681571371212411,0.0694765532049989,1.11212590920863,0.757993180900174,4,0.0677966101694915
2026-01-05,2025-12-31,517520.SH,黄金股ETF永赢,931238.CSI,中证沪深港黄金产业股票指数,40,2025-11-10,2026-01-05,3111.7488,3342.2789,0.00211764315146609,0.0740837756569552,0.129318342168149,0.559662952303095,0.0414619446019317,0.572879101408727,0.320619209207152,5,0.0847457627118644
2026-01-05,2025-12-31,159516.SZ,国泰中证半导体材料设备主题ETF,931743.CSI,中证半导体材料设备主题指数,40,2025-11-07,2026-01-05,4989.3298,5451.806,0.00239269463448767,0.0926930506778685,0.12348418369961,0.418709313814928,0.0388114436447427,0.750647150920601,0.314302953479096,6,0.101694915254237
2026-01-05,2025-12-31,513400.SH,道琼斯ETF,DJI.GI,道琼斯工业平均指数,40,2025-11-06,2026-01-05,46912.3008,48977.1797,0.00105334268313788,0.0440157243364196,0.0474744700112285,0.521408824002763,0.0229501870638824,0.927145144032343,0.483421659229776,7,0.11864406779661
2026-01-05,2025-12-31,159623.SZ,博时成渝经济圈ETF,931695.CSI,中证成渝地区双城经济圈成份指数,40,2025-11-07,2026-01-05,2343.5077,2435.3589,0.00182030596468918,0.0391938972506896,0.0662832480739588,0.579525976619522,0.0227138815817311,0.591309243128174,0.342679066608005,8,0.135593220338983
2026-01-05,2025-12-31,513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),931790.CSI,中证韩交所中韩半导体指数,40,2025-11-10,2026-01-05,5638.7463,6238.8329,0.00162472275662855,0.106421989583039,0.134644532922498,0.19830096868176,0.0211035836233568,0.790392207341206,0.156735540354275,9,0.152542372881356
2026-01-05,2025-12-31,159870.SZ,化工ETF,000813.CSI,中证细分化工产业主题指数,40,2025-11-07,2026-01-05,3489.7872,3862.2806,0.00144740425482657,0.106738141511895,0.10097000168658,0.196975169337929,0.0210247634991214,1.0571272628401,0.20822782160967,10,0.169491525423729
2026-01-05,2025-12-31,588220.SH,科创100ETF基金,000698.SH,上证科创板100指数,40,2025-11-07,2026-01-05,1411.1508,1506.7542,0.00137100817552363,0.0677485354506409,0.0926961042427174,0.30148778264085,0.0204253557301787,0.730867127632966,0.22034750971515,11,0.186440677966102
2026-01-05,2025-12-31,159869.SZ,华夏中证动漫游戏ETF,930901.CSI,中证动漫游戏指数,40,2025-11-07,2026-01-05,2086.4864,2205.041,0.00103899108565108,0.0568202121998018,0.100241527772923,0.313368270484044,0.0178056516255883,0.566833062725425,0.17762749651944,12,0.203389830508475
2026-01-05,2025-12-31,159561.SZ,嘉实德国DAX ETF(QDII),GDAXI.GI,德国法兰克福DAX指数,40,2025-11-04,2026-01-05,23949.11,24868.69,0.000864805144959597,0.0383972515053794,0.0499048415302503,0.35064468298665,0.0134637920816624,0.769409346427933,0.269789296365188,13,0.220338983050847
2026-01-05,2025-12-31,560280.SH,广发中证工程机械ETF,931752.CSI,中证工程机械主题指数,40,2025-11-07,2026-01-05,2479.9439,2539.4585,0.00156316025954969,0.0239983654468958,0.0691866533335601,0.483706627107929,0.0116081684064214,0.34686408852869,0.167780458327079,14,0.23728813559322
2026-01-05,2025-12-31,513080.SH,华安法国CAC40ETF,FCHI.GI,法国巴黎CAC40指数,40,2025-11-06,2026-01-05,7964.77,8211.5,0.000318468255241024,0.0309776679050366,0.0384458195085108,0.156847421852383,0.0048587673459043,0.805748669193515,0.126379601423991,15,0.254237288135593
2026-01-05,2025-12-31,159509.SZ,景顺长城纳斯达克科技ETF(QDII),NDXTMC.GI,纳斯达克科技市值加权指数,40,2025-11-06,2026-01-05,2315.1918,2364.0596,0.000834346347334271,0.0211074520910104,0.084340176164691,0.187116728184885,0.00394955737558907,0.250265686542958,0.0468288964428622,16,0.271186440677966
2026-01-05,2025-12-31,561360.SH,国泰中证油气产业ETF,H30198.CSI,中证油气产业指数,40,2025-11-07,2026-01-05,2019.5202,2094.5193,0.000512420680600507,0.0371370883044397,0.0658025809176499,0.0946711167957007,0.00351580962432187,0.564371302562064,0.053429661500995,17,0.288135593220339
