月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2021-08-31,2021-06-08,000010.SH,上证180指数,10675.2086,-0.00654821298546115
2021-08-31,2021-06-09,000010.SH,上证180指数,10693.6386,0.00172642996409467
2021-08-31,2021-06-10,000010.SH,上证180指数,10757.8711,0.00600660845224366
2021-08-31,2021-06-11,000010.SH,上证180指数,10654.5527,-0.00960398196256507
2021-08-31,2021-06-15,000010.SH,上证180指数,10510.8848,-0.0134841793968508
2021-08-31,2021-06-16,000010.SH,上证180指数,10385.9927,-0.0118821680930229
2021-08-31,2021-06-17,000010.SH,上证180指数,10406.7152,0.00199523537119384
2021-08-31,2021-06-18,000010.SH,上证180指数,10370.2511,-0.00350390101960329
2021-08-31,2021-06-21,000010.SH,上证180指数,10318.5238,-0.00498804701074196
2021-08-31,2021-06-22,000010.SH,上证180指数,10406.504,0.00852643282171806
2021-08-31,2021-06-23,000010.SH,上证180指数,10428.5824,0.00212159626325992
2021-08-31,2021-06-24,000010.SH,上证180指数,10459.8827,0.00300139547250455
2021-08-31,2021-06-25,000010.SH,上证180指数,10623.4403,0.0156366571873698
2021-08-31,2021-06-28,000010.SH,上证180指数,10593.4255,-0.00282533709913169
2021-08-31,2021-06-29,000010.SH,上证180指数,10486.6749,-0.0100770614755349
2021-08-31,2021-06-30,000010.SH,上证180指数,10547.031,0.00575550406354264
2021-08-31,2021-07-01,000010.SH,上证180指数,10595.1983,0.0045669060800142
2021-08-31,2021-07-02,000010.SH,上证180指数,10295.9913,-0.0282398678654273
2021-08-31,2021-07-05,000010.SH,上证180指数,10310.9207,0.00145002065027011
2021-08-31,2021-07-06,000010.SH,上证180指数,10315.3003,0.000424753533406541
2021-08-31,2021-07-07,000010.SH,上证180指数,10396.9027,0.0079108118645852
2021-08-31,2021-07-08,000010.SH,上证180指数,10285.9774,-0.0106690716649681
2021-08-31,2021-07-09,000010.SH,上证180指数,10258.0468,-0.00271540553841776
2021-08-31,2021-07-12,000010.SH,上证180指数,10341.1836,0.00810454481451583
2021-08-31,2021-07-13,000010.SH,上证180指数,10360.7125,0.00188845888008404
2021-08-31,2021-07-14,000010.SH,上证180指数,10216.6333,-0.0139063022933993
2021-08-31,2021-07-15,000010.SH,上证180指数,10395.7623,0.0175330752058998
2021-08-31,2021-07-16,000010.SH,上证180指数,10278.06,-0.0113221422925379
2021-08-31,2021-07-19,000010.SH,上证180指数,10313.1919,0.00341814505850335
2021-08-31,2021-07-20,000010.SH,上证180指数,10298.6638,-0.00140869094077456
