月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2022-04-29,2022-01-27,000018.SH,上证180金融股指数,4977.2674,-0.0115568356854052
2022-04-29,2022-01-28,000018.SH,上证180金融股指数,4911.2951,-0.0132547228625891
2022-04-29,2022-02-07,000018.SH,上证180金融股指数,5048.8826,0.0280145047688134
2022-04-29,2022-02-08,000018.SH,上证180金融股指数,5128.4576,0.0157609131176866
2022-04-29,2022-02-09,000018.SH,上证180金融股指数,5117.8586,-0.00206670325206548
2022-04-29,2022-02-10,000018.SH,上证180金融股指数,5165.2885,0.00926752841510714
2022-04-29,2022-02-11,000018.SH,上证180金融股指数,5231.3073,0.0127812415511739
2022-04-29,2022-02-14,000018.SH,上证180金融股指数,5092.3897,-0.0265550448546582
2022-04-29,2022-02-15,000018.SH,上证180金融股指数,5048.3522,-0.00864770816734617
2022-04-29,2022-02-16,000018.SH,上证180金融股指数,5086.5643,0.0075692222899979
2022-04-29,2022-02-17,000018.SH,上证180金融股指数,5077.2319,-0.00183471582183681
2022-04-29,2022-02-18,000018.SH,上证180金融股指数,5136.9672,0.0117653282687364
2022-04-29,2022-02-21,000018.SH,上证180金融股指数,5121.256,-0.00305845830590468
2022-04-29,2022-02-22,000018.SH,上证180金融股指数,5065.3307,-0.0109202312870124
2022-04-29,2022-02-23,000018.SH,上证180金融股指数,5049.6005,-0.00310546357812347
2022-04-29,2022-02-24,000018.SH,上证180金融股指数,4943.6805,-0.020975916807676
2022-04-29,2022-02-25,000018.SH,上证180金融股指数,4927.2984,-0.00331374570019249
2022-04-29,2022-02-28,000018.SH,上证180金融股指数,4910.1237,-0.00348562206015357
2022-04-29,2022-03-01,000018.SH,上证180金融股指数,4953.0367,0.00873969835016575
2022-04-29,2022-03-02,000018.SH,上证180金融股指数,4923.3952,-0.00598451047213111
2022-04-29,2022-03-03,000018.SH,上证180金融股指数,4946.9099,0.00477611466168715
2022-04-29,2022-03-04,000018.SH,上证180金融股指数,4889.9866,-0.0115068398557248
2022-04-29,2022-03-07,000018.SH,上证180金融股指数,4780.8173,-0.0223250714020362
2022-04-29,2022-03-08,000018.SH,上证180金融股指数,4666.4485,-0.0239224368603249
2022-04-29,2022-03-09,000018.SH,上证180金融股指数,4576.5903,-0.0192562288001251
2022-04-29,2022-03-10,000018.SH,上证180金融股指数,4584.7918,0.00179205466567556
2022-04-29,2022-03-11,000018.SH,上证180金融股指数,4629.2138,0.00968898958508868
2022-04-29,2022-03-14,000018.SH,上证180金融股指数,4527.8186,-0.0219033305396266
2022-04-29,2022-03-15,000018.SH,上证180金融股指数,4312.8402,-0.0474794639520232
2022-04-29,2022-03-16,000018.SH,上证180金融股指数,4500.942,0.0436143680908929
2022-04-29,2022-03-17,000018.SH,上证180金融股指数,4539.8617,0.00864701211435293
