月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2021-01-29,2020-11-05,000018.SH,上证180金融股指数,5543.7534,0.00755917456150312
2021-01-29,2020-11-06,000018.SH,上证180金融股指数,5542.3674,-0.000250011120624394
2021-01-29,2020-11-09,000018.SH,上证180金融股指数,5649.0701,0.0192521881533874
2021-01-29,2020-11-10,000018.SH,上证180金融股指数,5643.5067,-0.000984834654468192
2021-01-29,2020-11-11,000018.SH,上证180金融股指数,5636.25,-0.00128584945243349
2021-01-29,2020-11-12,000018.SH,上证180金融股指数,5575.7801,-0.0107287469505434
2021-01-29,2020-11-13,000018.SH,上证180金融股指数,5480.5001,-0.0170881918388424
2021-01-29,2020-11-16,000018.SH,上证180金融股指数,5542.1027,0.0112403245827877
2021-01-29,2020-11-17,000018.SH,上证180金融股指数,5580.8506,0.00699155214139191
2021-01-29,2020-11-18,000018.SH,上证180金融股指数,5665.6291,0.0151909639007359
2021-01-29,2020-11-19,000018.SH,上证180金融股指数,5683.1064,0.00308479423758956
2021-01-29,2020-11-20,000018.SH,上证180金融股指数,5655.2613,-0.00489962672527111
2021-01-29,2020-11-23,000018.SH,上证180金融股指数,5753.7928,0.0174229791999179
2021-01-29,2020-11-24,000018.SH,上证180金融股指数,5706.8524,-0.00815816655754453
2021-01-29,2020-11-25,000018.SH,上证180金融股指数,5691.6466,-0.00266448103686712
2021-01-29,2020-11-26,000018.SH,上证180金融股指数,5759.4853,0.0119189937056177
2021-01-29,2020-11-27,000018.SH,上证180金融股指数,5873.4709,0.019790935137902
2021-01-29,2020-11-30,000018.SH,上证180金融股指数,5846.5101,-0.00459026705997634
2021-01-29,2020-12-01,000018.SH,上证180金融股指数,6027.638,0.0309805160517895
2021-01-29,2020-12-02,000018.SH,上证180金融股指数,6012.3568,-0.002535188742257
2021-01-29,2020-12-03,000018.SH,上证180金融股指数,5988.86,-0.00390808476303339
2021-01-29,2020-12-04,000018.SH,上证180金融股指数,5929.5006,-0.00991163593739031
2021-01-29,2020-12-07,000018.SH,上证180金融股指数,5817.8596,-0.0188280611692662
2021-01-29,2020-12-08,000018.SH,上证180金融股指数,5778.4197,-0.00677910824798855
2021-01-29,2020-12-09,000018.SH,上证180金融股指数,5726.5716,-0.0089727127297452
2021-01-29,2020-12-10,000018.SH,上证180金融股指数,5700.681,-0.00452113442535163
2021-01-29,2020-12-11,000018.SH,上证180金融股指数,5617.2598,-0.0146335499214918
2021-01-29,2020-12-14,000018.SH,上证180金融股指数,5670.6896,0.00951171957544128
2021-01-29,2020-12-15,000018.SH,上证180金融股指数,5634.013,-0.00646774953085072
2021-01-29,2020-12-16,000018.SH,上证180金融股指数,5632.0712,-0.00034465664172223
2021-01-29,2020-12-17,000018.SH,上证180金融股指数,5712.0278,0.014196660013815
2021-01-29,2020-12-18,000018.SH,上证180金融股指数,5643.3905,-0.0120162755510398
2021-01-29,2020-12-21,000018.SH,上证180金融股指数,5636.4743,-0.0012255398594162
2021-01-29,2020-12-22,000018.SH,上证180金融股指数,5477.5007,-0.0282044397860557
2021-01-29,2020-12-23,000018.SH,上证180金融股指数,5506.758,0.00534135942693714
2021-01-29,2020-12-24,000018.SH,上证180金融股指数,5498.2236,-0.00154980480347955
2021-01-29,2020-12-25,000018.SH,上证180金融股指数,5503.9364,0.0010390264957576
2021-01-29,2020-12-28,000018.SH,上证180金融股指数,5518.9669,0.00273086367785802
2021-01-29,2020-12-29,000018.SH,上证180金融股指数,5534.956,0.00289711829944106
2021-01-29,2020-12-30,000018.SH,上证180金融股指数,5573.0738,0.00688673947904905
2021-01-29,2020-12-31,000018.SH,上证180金融股指数,5695.4867,0.0219650599279702
2021-01-29,2021-01-04,000018.SH,上证180金融股指数,5633.0799,-0.0109572374209918
2021-01-29,2021-01-05,000018.SH,上证180金融股指数,5578.7204,-0.00965004952264203
2021-01-29,2021-01-06,000018.SH,上证180金融股指数,5660.6853,0.0146924194300901
2021-01-29,2021-01-07,000018.SH,上证180金融股指数,5720.9313,0.0106428809953452
2021-01-29,2021-01-08,000018.SH,上证180金融股指数,5725.7524,0.000842712444388161
2021-01-29,2021-01-11,000018.SH,上证180金融股指数,5697.2623,-0.00497578274603705
2021-01-29,2021-01-12,000018.SH,上证180金融股指数,5891.2792,0.034054408904431
2021-01-29,2021-01-13,000018.SH,上证180金融股指数,5840.7308,-0.0085802078434849
2021-01-29,2021-01-14,000018.SH,上证180金融股指数,5782.2858,-0.0100064533020424
2021-01-29,2021-01-15,000018.SH,上证180金融股指数,5893.2412,0.0191888474277768
2021-01-29,2021-01-18,000018.SH,上证180金融股指数,5953.5778,0.0102382709195747
2021-01-29,2021-01-19,000018.SH,上证180金融股指数,5964.2732,0.00179646598386607
2021-01-29,2021-01-20,000018.SH,上证180金融股指数,5900.8826,-0.0106283863723747
2021-01-29,2021-01-21,000018.SH,上证180金融股指数,5925.4305,0.0041600387033629
2021-01-29,2021-01-22,000018.SH,上证180金融股指数,5807.9023,-0.0198345419796926
2021-01-29,2021-01-25,000018.SH,上证180金融股指数,5817.8065,0.00170529728091329
2021-01-29,2021-01-26,000018.SH,上证180金融股指数,5718.6449,-0.0170444995033781
2021-01-29,2021-01-27,000018.SH,上证180金融股指数,5750.7766,0.00561876118588867
2021-01-29,2021-01-28,000018.SH,上证180金融股指数,5693.7174,-0.00992199905661428
2021-01-29,2021-01-29,000018.SH,上证180金融股指数,5654.301,-0.00692278826483383
2021-01-29,2021-02-01,000018.SH,上证180金融股指数,5713.6148,0.0104900322780834
2021-01-29,2021-02-02,000018.SH,上证180金融股指数,5673.2064,-0.00707230035878514
2021-01-29,2021-02-03,000018.SH,上证180金融股指数,5689.1547,0.00281116160342765
2021-01-29,2021-02-04,000018.SH,上证180金融股指数,5688.5456,-0.000107063356881376
2021-01-29,2021-02-05,000018.SH,上证180金融股指数,5772.9381,0.0148355143711953
2021-01-29,2021-02-08,000018.SH,上证180金融股指数,5779.2237,0.00108880432998215
2021-01-29,2021-02-09,000018.SH,上证180金融股指数,5811.6673,0.00561383356730083
