日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2024-09-12,159516.SZ,国泰中证半导体材料设备主题ETF,20230727,中证半导体材料设备主题指数,中证半导体材料设备主题指数收益率,国泰基金管理有限公司,广发证券股份有限公司,股票型ETF,主题指数ETF,931743.CSI,764485119.8375,45164819,33607463.51,0.18484498714653,0.18612242424545,0.203389831
2024-09-12,159611.SZ,广发中证全指电力ETF,20220107,中证全指电力公用事业指数,中证全指电力公用事业指数收益率,广发基金管理有限公司,中国建设银行股份有限公司,股票型ETF,行业指数ETF,H30199.CSI,1544146509.15,68394700,62529789.3,0.913,0.91424904707528,-0.054734537
2024-09-12,159628.SZ,万家国证2000ETF,20220718,国证2000指数,国证2000指数收益率,万家基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,399303.SZ,748969414.125,66293700,48726470.9,0.729,0.73500907175192,-0.205338809
2024-09-12,159638.SZ,嘉实中证高端装备细分50ETF,20220812,中证高端装备细分50指数,中证高端装备细分50指数收益率,嘉实基金管理有限公司,兴业银行股份有限公司,股票型ETF,主题指数ETF,931521.CSI,710607946.248,27882000,17269728.4,0.613,0.61938628505846,-0.16286645
2024-09-12,159667.SZ,国泰中证机床ETF,20221026,中证机床指数,中证机床指数收益率,国泰基金管理有限公司,中国邮政储蓄银行股份有限公司,股票型ETF,主题指数ETF,931866.CSI,420162105.3682,34690257,25878758.75,0.24676784249385,0.24876700009537,0.040556983
2024-09-12,159707.SZ,华宝中证800地产ETF,20211112,中证800地产指数,中证800地产指数收益率,华宝基金管理有限公司,中国银行股份有限公司,股票型ETF,行业指数ETF,399965.SZ,225419610.9244,35527300,18354896.4,0.515,0.51664203021339,0.077730276
2024-09-12,159732.SZ,华夏国证消费电子主题ETF,20210823,国证消费电子主题指数,国证消费电子主题指数收益率,华夏基金管理有限公司,中国建设银行股份有限公司,股票型ETF,主题指数ETF,980030.SZ,995463211.1424,98968833,59886145.95,0.601,0.60510106196766,0.066600067
2024-09-12,159755.SZ,广发国证新能源车电池ETF,20210624,国证新能源车电池指数,国证新能源车电池指数收益率,广发基金管理有限公司,中国工商银行股份有限公司,股票型ETF,主题指数ETF,980032.SZ,2565305510.0472,118688189,61483432.92,0.513,0.51802486361975,-0.038971161
2024-09-12,159766.SZ,富国中证旅游主题ETF,20210723,中证旅游主题指数,中证旅游主题指数收益率,富国基金管理有限公司,中国银行股份有限公司,股票型ETF,主题指数ETF,930633.CSI,2450326866.0068,50609400,29702377.9,0.585,0.58689448798049,0.239890336
2024-09-12,159781.SZ,易方达中证科创创业50ETF,20210705,中证科创创业50指数,中证科创创业50指数收益率,易方达基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,931643.CSI,6512328055.6239,127938049,52659225.12,0.408,0.41159940714744,-0.073475386
2024-09-12,159819.SZ,易方达中证人工智能主题ETF,20200923,中证人工智能主题指数,中证人工智能主题指数收益率,易方达基金管理有限公司,中国工商银行股份有限公司,股票型ETF,主题指数ETF,930713.CSI,5109109624.449,196928070,123666513.1,0.621,0.62797808915712,0
2024-09-12,159825.SZ,富国中证农业主题ETF,20201229,中证农业主题指数,中证农业主题指数收益率,富国基金管理有限公司,中国农业银行股份有限公司,股票型ETF,主题指数ETF,000949.CSI,1372453017.3948,41614300,24141578.4,0.576,0.58012698519499,-0.069396253
2024-09-12,159851.SZ,华宝中证金融科技主题ETF,20210319,中证金融科技主题指数,中证金融科技主题指数收益率,华宝基金管理有限公司,中国建设银行股份有限公司,股票型ETF,主题指数ETF,930986.CSI,301943532.1816,31078400,23277909.8,0.37471535365152,0.37471838321905,0.080171032
2024-09-12,159852.SZ,嘉实中证软件服务ETF,20210209,中证软件服务指数,中证软件服务指数收益率,嘉实基金管理有限公司,中国银行股份有限公司,股票型ETF,主题指数ETF,930601.CSI,954624370.8584,83215300,41127268.7,0.49,0.49422724787389,-0.081566069
2024-09-12,159859.SZ,天弘国证生物医药ETF,20210707,国证生物医药指数,国证生物医药指数收益率,天弘基金管理有限公司,中信建投证券股份有限公司,股票型ETF,主题指数ETF,399441.SZ,2530780632.7076,177957200,55693723.8,0.31,0.31296134014246,0.193923723
2024-09-12,159865.SZ,国泰中证畜牧养殖ETF,20210308,中证畜牧养殖指数,中证畜牧养殖指数收益率,国泰基金管理有限公司,浙商银行股份有限公司,股票型ETF,主题指数ETF,930707.CSI,4230068074.1349,185451046,91736036.19,0.491,0.49466443122677,-0.020362452
2024-09-12,159869.SZ,华夏中证动漫游戏ETF,20210305,中证动漫游戏指数,中证动漫游戏指数收益率,华夏基金管理有限公司,中国民生银行股份有限公司,股票型ETF,主题指数ETF,930901.CSI,5666513394.3042,385681100,298372455.6,0.765,0.77362477860595,0.052314936
2024-09-12,159870.SZ,化工ETF,20210303,中证细分化工产业主题指数,中证细分化工产业主题指数收益率,鹏华基金管理有限公司,华泰证券股份有限公司,股票型ETF,主题指数ETF,000813.CSI,1328148738.9632,58264200,28833682.2,0.494,0.49487819621654,0.243506494
2024-09-12,159883.SZ,医疗器械ETF永赢,20210430,中证全指医疗器械指数,中证全指医疗器械指数收益率,永赢基金管理有限公司,招商银行股份有限公司,股票型ETF,行业指数ETF,H30217.CSI,1515634379.4907,49770900,21314875.4,0.425,0.42825979437784,0.023534949
2024-09-12,159887.SZ,富国中证800银行ETF,20210520,中证800银行指数,中证800银行指数收益率,富国基金管理有限公司,招商银行股份有限公司,股票型ETF,行业指数ETF,H30022.CSI,205706326.035,33092800,32167909,0.974,0.9720515943045,-0.13329232
2024-09-12,159901.SZ,易方达深证100ETF,20060424,深证100指数,深证100价格指数,易方达基金管理有限公司,中国银行股份有限公司,股票型ETF,规模指数ETF,399330.SZ,5603196160.694,47873891,104961107.81,2.1213682711478,2.1393715115465,-0.082728192
2024-09-12,159905.SZ,红利ETF工银,20110111,深证红利指数,深证红利价格指数,工银瑞信基金管理有限公司,中国农业银行股份有限公司,股票型ETF,策略指数ETF,399324.SZ,2089099712.2739,17793300,28942517.7,1.3653387275535,1.3700524720347,0.12971771
2024-09-12,159915.SZ,易方达创业板ETF,20111209,创业板指数,创业板指数,易方达基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,399006.SZ,59364544249.502,1261776253,1936399815.19,1.525,1.5346617996543,0.105028226
2024-09-12,159928.SZ,汇添富中证主要消费ETF,20130916,中证主要消费指数,中证主要消费指数,汇添富基金管理股份有限公司,中国工商银行股份有限公司,股票型ETF,行业指数ETF,000932.SH,6771132934.272,112050000,76505114.4,0.677,0.68277656760375,0.029550827
2024-09-12,159929.SZ,汇添富中证医药卫生ETF,20130916,中证医药卫生指数,中证医药卫生指数,汇添富基金管理股份有限公司,中国工商银行股份有限公司,股票型ETF,行业指数ETF,000933.SH,1650974725.4015,33492413,37179514.51,1.102,1.110087664033,0.136301681
2024-09-12,159930.SZ,汇添富中证能源ETF,20130916,中证能源指数,中证能源指数,汇添富基金管理股份有限公司,中国工商银行股份有限公司,股票型ETF,行业指数ETF,000928.SH,220307595.885,15014100,19077127.5,1.273,1.2706141227246,-0.383441584
2024-09-12,159938.SZ,广发中证全指医药卫生ETF,20150108,中证全指医药卫生指数,中证全指医药卫生指数,广发基金管理有限公司,中国银行股份有限公司,股票型ETF,行业指数ETF,000991.SH,4090696375.4216,44052900,23561599,0.531,0.53484785337628,0.075386355
2024-09-12,159949.SZ,华安创业板50ETF,20160722,创业板50指数,创业板50指数收益率,华安基金管理有限公司,中国建设银行股份有限公司,股票型ETF,规模指数ETF,399673.SZ,15455594650.433,542451400,369674945.4,0.677,0.68148952219498,0.088704908
2024-09-12,159967.SZ,华夏创成长ETF,20190715,创业板动量成长指数,创业板动量成长指数收益率,华夏基金管理有限公司,中国农业银行股份有限公司,股票型ETF,风格指数ETF,399296.SZ,3416335781.7428,133739605,47836214.49,0.354,0.35768173900319,-0.225479143
2024-09-12,159992.SZ,创新药,20200410,中证创新药产业指数,中证创新药产业指数收益率,银华基金管理股份有限公司,上海银行股份有限公司,股票型ETF,主题指数ETF,931152.CSI,6527375243.1369,229570538,140544589.13,0.605,0.61220655905768,-0.115568763
2024-09-12,159993.SZ,龙头券商,20200207,国证证券龙头指数,国证证券龙头指数收益率,鹏华基金管理有限公司,中信证券股份有限公司,股票型ETF,行业指数ETF,399437.SZ,1203053601.4712,21926100,18693953.3,0.851,0.85258907420836,-0.070455613
2024-09-12,159995.SZ,华夏国证半导体芯片ETF,20200210,国证半导体芯片指数,国证半导体芯片指数收益率,华夏基金管理有限公司,中国建设银行股份有限公司,股票型ETF,主题指数ETF,980017.SZ,20493167836.007,313174836,243226227.69,0.38412761714855,0.38845244354259,0.02604845
2024-09-12,159996.SZ,国泰中证全指家用电器ETF,20200316,中证全指家用电器指数,中证全指家用电器指数收益率,国泰基金管理有限公司,上海浦东发展银行股份有限公司,股票型ETF,行业指数ETF,930697.CSI,1738165478.608,68809200,72505734.6,1.048,1.0537215168902,0
2024-09-12,159997.SZ,天弘中证电子ETF,20200320,中证电子指数,中证电子指数收益率,天弘基金管理有限公司,国泰海通证券股份有限公司,股票型ETF,主题指数ETF,930652.CSI,1236234466.5102,41115801,32421915.29,0.782,0.78855122608459,0.217864924
2024-09-12,510050.SH,华夏上证50ETF,20050223,上证50指数,上证50指数,华夏基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,000016.SH,126833069072.84,699198306,1610700920,2.192800514631,2.1991389396836,0.030483822
2024-09-12,510180.SH,华安上证180ETF,20060518,上证180指数,上证180指数,华安基金管理有限公司,中国建设银行股份有限公司,股票型ETF,规模指数ETF,000010.SH,17957132137.23,13789000,42732845,2.7332841866502,2.7404054317153,0.035599858
2024-09-12,510210.SH,上证综指ETF,20110325,上证综合指数,上证综合指数,富国基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,000001.SH,9298108464.2,549176600,367349239,0.667,0.66890912504284,0
2024-09-12,510230.SH,国泰上证180金融ETF,20110523,上证180金融股指数,上证180金融股指数,国泰基金管理有限公司,中国银行股份有限公司,股票型ETF,行业指数ETF,000018.SH,3266062906.4,38168750,39306885,0.98464372810091,0.98161116206442,-0.029033195
2024-09-12,510300.SH,华泰柏瑞沪深300ETF,20120528,沪深300指数,沪深300指数,华泰柏瑞基金管理有限公司,中国工商银行股份有限公司,股票型ETF,规模指数ETF,000300.SH,282182700141.85,642379317,2090444738,3.0910511338135,3.1017470847062,0.077148588
2024-09-12,510500.SH,南方中证500ETF,20130315,中证小盘500指数,中证500指数,南方基金管理股份有限公司,中国农业银行股份有限公司,股票型ETF,规模指数ETF,000905.SH,84017403343.98,242441588,1114419442,4.3835041217447,4.4090678214671,0.015319633
2024-09-12,510880.SH,华泰柏瑞上证红利ETF,20070118,上证红利指数,上证红利指数,华泰柏瑞基金管理有限公司,招商银行股份有限公司,股票型ETF,策略指数ETF,000015.SH,16003376761.26,175512200,500124280,2.6045926511657,2.6014091792191,0.042078687
2024-09-12,512010.SH,易方达沪深300医药ETF,20131028,沪深300医药卫生指数,沪深300医药卫生指数,易方达基金管理有限公司,中国建设银行股份有限公司,股票型ETF,行业指数ETF,000913.SH,16729085730.84,1087466720,341591728,0.311,0.3141169487927,-0.192554557
2024-09-12,512040.SH,富国中证价值ETF,20181129,中证国信价值指数,中证国信价值指数收益率,富国基金管理有限公司,中国建设银行股份有限公司,股票型ETF,风格指数ETF,931052.CSI,1886617015.4,29793847,24060210,0.805,0.80755633872994,-0.124069479
2024-09-12,512070.SH,易方达沪深300非银ETF,20140718,沪深300非银行金融指数,沪深300非银行金融指数,易方达基金管理有限公司,中国建设银行股份有限公司,股票型ETF,主题指数ETF,H30035.CSI,5545273372.47,184342400,107878427,0.584,0.58520680537955,-0.188002051
2024-09-12,512100.SH,南方中证1000ETF,20161104,中证1000指数,中证1000指数,南方基金管理股份有限公司,招商银行股份有限公司,股票型ETF,规模指数ETF,000852.SH,37582410066.24,617876135,1131386008,1.7684368709532,1.7801895375379,0.088037856
2024-09-12,512170.SH,华宝中证医疗ETF,20190617,中证医疗指数,中证医疗指数收益率,华宝基金管理有限公司,中国银行股份有限公司,股票型ETF,主题指数ETF,399989.SZ,21026679670.85,918871500,253763380,0.273,0.27616851757836,-0.255754476
2024-09-12,512200.SH,南方中证全指房地产ETF,20170925,中证全指房地产指数,中证全指房地产指数收益率,南方基金管理股份有限公司,中国工商银行股份有限公司,股票型ETF,行业指数ETF,931775.CSI,3863803667.21,88193881,100209528,1.132,1.1362412773285,0.185857156
2024-09-12,512290.SH,国泰中证生物医药ETF,20190520,中证生物医药指数,中证生物医药指数收益率,国泰基金管理有限公司,中国银行股份有限公司,股票型ETF,主题指数ETF,930726.CSI,3395953688.28,34853400,28140088,0.801,0.80738430110118,0.074962519
2024-09-12,512400.SH,南方中证申万有色金属ETF,20170901,中证申万有色金属指数,中证申万有色金属指数,南方基金管理股份有限公司,中国工商银行股份有限公司,股票型ETF,行业指数ETF,000819.SH,3604274935.7,131791500,114453782,0.84773460742638,0.85012887599038,-0.034630036
