日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2026-08-12,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,111223732.9086,116000323,116656276.78,1.005,1.0056547582199,-0.386559619
2026-08-13,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,67309816.574,40547050,40998130.57,0.999,1.0111248677771,-0.1998002
2026-08-14,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,51462917.0682,19810733,20096343.31,1.006,1.014416948126,0.16927213
2026-08-17,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,42290135.3796,11613818,11810161.66,1.027,1.016906038996,0.156036669
2026-08-18,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,40882430.9266,3808219,3854615.04,1.014,1.0121831333755,-0.187026282
2026-08-19,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,40248627.9666,3627154,3596181.76,0.979,0.99146100772121,0.317655497
2026-08-20,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,39893941.8302,2832347,2756264.7,0.967,0.97313807241839,-0.031014163
2026-08-21,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,40504331.9254,1983227,1952438.84,0.985,0.98447572567336,0.295285612
2026-08-24,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,40050663.6114,1234309,1201448.1,0.97,0.97337708790911,-0.113273607
2026-08-25,159077.SZ,鑫元中证电池主题ETF,20260812,中证电池主题指数,中证电池主题指数收益率,鑫元基金管理有限公司,中泰证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,39427900.744,1631506,1553842.09,0.955,0.95239741073585,-0.10460251
