日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2026-03-20,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,378379672.6,258364600,260389132,0.996,1.0078359496618,-0.02007629
2026-03-23,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,371759412.6,29128400,28940000,0.979,0.99353208552478,0.28682647
2026-03-24,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,368419847.1,24473400,23497512,0.978,0.96012454338179,0.030684259
2026-03-25,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,368550957.6,21896000,21555493,0.992,0.9844488947753,0.08071025
2026-03-26,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,346501272.6,37727300,38100599,0.997,1.0098946651364,0.08030516
2026-03-27,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,330548782.2,37930000,38208124,1.014,1.0073325599789,0.257069409
2026-03-30,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,330911415.9,18647300,18598109,1.002,0.99736203096427,-0.129572411
2026-03-31,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,328962359.6,22206200,21747685,0.967,0.97935193774712,0.186489847
2026-04-01,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,333643726.0,13296500,12795212,0.964,0.96229925168277,0.207900208
2026-04-02,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,332912060.7,13410500,12715239,0.941,0.94815547518735,0.010628122
2026-04-03,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,329849744.1,12175400,11243175,0.918,0.92343372702334,0.141813025
2026-04-07,512460.SH,华夏中证电池主题ETF,20260320,中证电池主题指数,中证电池主题指数收益率,华夏基金管理有限公司,财通证券股份有限公司,股票型ETF,主题指数ETF,931719.CSI,335335659.1,10104600,9311172,0.922,0.92147853452883,0.032548552
