日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2026-05-08,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,199618352.0,164369600,167137493,1.025,1.0168394459803,-1.157184185
2026-05-11,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,163642163.2,73107700,76550216,1.05,1.0470882820825,-0.86858006
2026-05-12,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,160892134.4,28145100,29046549,1.029,1.0320286302056,-1.19070482
2026-05-13,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,139823028.8,34156600,35253524,1.04,1.0321145547273,-1.449824694
2026-05-14,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,131100454.4,17843700,18549758,1.026,1.03956903557,-1.003473562
2026-05-15,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,126938736.0,42931100,43342866,0.996,1.0095913219088,-0.747384155
2026-05-18,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,126369504.0,19024400,18999249,0.99,0.99867796093438,-0.900900901
2026-05-19,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,125699075.2,25908100,25288022,0.988,0.9760662495513,-0.573613767
2026-05-20,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,124205360.8,46982900,47185445,1.014,1.0043110365686,-0.811894747
2026-05-21,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,107454464.0,50873600,52176789,1.002,1.0256162135174,-0.693756194
2026-05-22,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,103424412.8,71374500,74197692,1.061,1.0395546308556,-1.007650681
2026-05-25,513240.SH,华安中证港股通信息技术综合ETF,20260508,中证港股通信息技术综合指数,中证港股通信息技术综合指数(港元)收益率,华安基金管理有限公司,华泰证券股份有限公司,跨境型ETF,,930967.CSI,103356865.6,91415700,99721220,1.107,1.0908544155982,3.35169452
