日期,代码,名称,上市日期,对标指数,benchmark,管理人,托管人,类别大类,类别细类,对标指数代码,规模,成交量,成交额,收盘价,VWAP,溢价率
2026-02-24,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,233753327.5,122783400,124488091,1.002,1.0138837253244,-1.523341523
2026-02-25,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,212962888.2,27026600,27197736,1.004,1.0063321320477,-1.122710262
2026-02-26,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,199580038.2,19216500,18991568,0.97,0.98829485077928,0.47648643
2026-02-27,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,202688151.6,12587100,12205564,0.97,0.96968833170468,-1.542833942
2026-03-02,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,193953816.0,9368600,8859076,0.943,0.94561364558205,-0.945378151
2026-03-03,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,185723701.3,11031100,10208681,0.909,0.92544542248733,-0.775024561
2026-03-04,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,181364941.8,8899700,7970283,0.888,0.89556760340236,-0.737759893
2026-03-05,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,183757191.2,15148500,13758986,0.904,0.90827382249068,-0.26478376
2026-03-06,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,190629839.9,7270000,6759429,0.938,0.92977015130674,-0.244602786
2026-03-09,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,192194571.6,12410400,11257813,0.916,0.90712732869206,-0.994379594
2026-03-10,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,192412935.4,15589300,14782383,0.951,0.94823904857819,-0.293562592
2026-03-11,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,189286073.9,11638800,10968273,0.935,0.94238864831426,-0.351699883
2026-03-12,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,185412800.3,12745800,11759958,0.916,0.92265358000282,-0.337286476
2026-03-13,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,182824619.4,8730800,7914477,0.904,0.90650077885188,0.243956531
2026-03-16,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,188136224.0,15349500,14033339,0.925,0.91425381934265,-0.323275862
2026-03-17,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,188825516.2,11763300,11077299,0.93,0.94168294611206,-0.150311359
2026-03-18,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,191379952.0,19879600,18630714,0.941,0.93717750860178,-0.31779661
2026-03-19,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,185926434.3,14819600,13674774,0.913,0.92274919700937,-0.447061389
2026-03-20,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,183169265.5,14385900,13276622,0.901,0.92289130329003,-0.276701716
2026-03-23,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,176942110.5,13046600,11376946,0.861,0.87202382229853,-0.863557858
2026-03-24,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,183787539.3,26548000,23468701,0.897,0.88401013259003,-0.565347522
2026-03-25,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,184908070.8,7455400,6740382,0.903,0.90409394532822,-0.506831203
2026-03-26,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,182076182.1,8409700,7619371,0.892,0.90602173680393,-0.190220432
2026-03-27,520930.SH,国泰恒生生物科技ETF,20260224,恒生生物科技指数,恒生生物科技指数收益率(经汇率调整),国泰基金管理有限公司,兴业银行股份有限公司,跨境型ETF,,HSBIO.HK,190548746.7,23428700,21545473,0.938,0.91961880087243,-0.202149165
