日期,指数池日期,ETF代码,ETF名称,对标指数代码,对标指数,趋势窗口,窗口起始日,窗口结束日,窗口起始收盘价,窗口结束收盘价,log价格回归斜率,窗口收益率,窗口波动率,R平方,趋势质量因子,风险调整趋势得分,因子排名,排名百分比
2026-01-05,2025-12-31,512710.SH,富国中证军工龙头ETF,931066.CSI,中证军工龙头指数,5,2025-12-26,2026-01-05,3312.6207,3540.6481,0.0155080455469422,0.068835952151117,0.0326374510193905,0.87348065770218,0.0601268727585135,2.10910932076835,1,0.0333333333333333
2026-01-05,2025-12-31,562500.SH,华夏中证机器人ETF,H30590.CSI,中证机器人指数,5,2025-12-26,2026-01-05,1843.1875,1944.5355,0.0134179395947603,0.0549851819199076,0.0327883067710315,0.882100768795055,0.0485024712438865,1.67697534074822,2,0.0666666666666667
2026-01-05,2025-12-31,159851.SZ,华宝中证金融科技主题ETF,930986.CSI,中证金融科技主题指数,5,2025-12-26,2026-01-05,3067.7467,3143.205,0.00555086918215659,0.0245973045949328,0.00684269476501008,0.957154799431203,0.0235434281461111,3.59468096117781,3,0.1
2026-01-05,2025-12-31,588000.SH,华夏上证科创板50成份ETF,000688.SH,上证科创板50成份指数,5,2025-12-26,2026-01-05,1345.8267,1403.4142,0.00822241582235365,0.0427896845856899,0.0477979773881328,0.506131598482691,0.0216572114579254,0.895219566263772,4,0.133333333333333
2026-01-05,2025-12-31,512400.SH,南方中证申万有色金属ETF,000819.SH,中证申万有色金属指数,5,2025-12-26,2026-01-05,9309.8583,9597.6053,0.00871356672278805,0.0309077743965231,0.0430089527765714,0.511375569561237,0.0158054807358922,0.718635828151569,5,0.166666666666667
2026-01-05,2025-12-31,159869.SZ,华夏中证动漫游戏ETF,930901.CSI,中证动漫游戏指数,5,2025-12-26,2026-01-05,2128.2587,2205.041,0.00781621997844081,0.0360775219666671,0.0460270499763842,0.41170954546239,0.0148534601703059,0.783833028299184,6,0.2
2026-01-05,2025-12-31,159870.SZ,化工ETF,000813.CSI,中证细分化工产业主题指数,5,2025-12-26,2026-01-05,3792.6528,3862.2806,0.00524848482338383,0.0183586011353321,0.0269040823656983,0.611481902825235,0.0112259523554424,0.682372321262984,7,0.233333333333333
2026-01-05,2025-12-31,512100.SH,南方中证1000ETF,000852.SH,中证1000指数,5,2025-12-26,2026-01-05,7605.5299,7753.88,0.00387839167845585,0.019505557397125,0.021388158933825,0.454396202452397,0.00886325120797087,0.911979261865188,8,0.266666666666667
2026-01-05,2025-12-31,563360.SH,华泰柏瑞中证A500ETF,000510.CSI,中证A500指数,5,2025-12-26,2026-01-05,5667.8201,5763.2977,0.00337755899416248,0.01684555937123,0.023798666663865,0.359661994025078,0.00605870747392442,0.70783626701271,9,0.3
2026-01-05,2025-12-31,560280.SH,广发中证工程机械ETF,931752.CSI,中证工程机械主题指数,5,2025-12-26,2026-01-05,2517.8371,2539.4585,0.00261509541502705,0.00858729105230838,0.015289156755053,0.504632051553949,0.00433342230101725,0.561658905712398,10,0.333333333333333
2026-01-05,2025-12-31,512170.SH,华宝中证医疗ETF,399989.SZ,中证医疗指数,5,2025-12-26,2026-01-05,6910.342,7092.1847,0.00373151459645871,0.0263145731426897,0.0564375003768416,0.101427539258962,0.00266902240051298,0.466260429093836,11,0.366666666666667
2026-01-05,2025-12-31,561360.SH,国泰中证油气产业ETF,H30198.CSI,中证油气产业指数,5,2025-12-26,2026-01-05,2074.8329,2094.5193,0.00238122449808008,0.00948818577149035,0.0169648339806755,0.269837632584046,0.00256026958609659,0.559285506848949,12,0.4
2026-01-05,2025-12-31,159915.SZ,易方达创业板ETF,399006.SZ,创业板指数,5,2025-12-26,2026-01-05,3243.8757,3294.5513,0.00249519647638489,0.0156219302730989,0.0361929143608587,0.141539339616761,0.00221111769439351,0.431629520555919,13,0.433333333333333
2026-01-05,2025-12-31,512800.SH,华宝中证银行ETF,399986.SZ,中证银行指数,5,2025-12-26,2026-01-05,7528.8231,7577.0513,0.00123989563352644,0.00640580863163076,0.0120894791080488,0.21698956613991,0.00138999363575285,0.529866388318253,14,0.466666666666667
2026-01-05,2025-12-31,512200.SH,南方中证全指房地产ETF,931775.CSI,中证全指房地产指数,5,2025-12-26,2026-01-05,2992.9032,3015.7105,0.00157999632632251,0.00762046029420538,0.0232034181462418,0.0889259100601549,0.000677656366739489,0.328419728773437,15,0.5
2026-01-05,2025-12-31,512010.SH,易方达沪深300医药ETF,000913.SH,沪深300医药卫生指数,5,2025-12-26,2026-01-05,8382.7741,8506.0452,0.00161247127774287,0.0147052871196898,0.0430077165999087,0.0358455103212993,0.00052711852122651,0.341922061487007,16,0.533333333333333
2026-01-05,2025-12-31,159755.SZ,广发国证新能源车电池ETF,980032.SZ,国证新能源车电池指数,5,2025-12-26,2026-01-05,15968.4858,16071.7861,0.00194174096439903,0.00646901035538372,0.0372805857304986,0.081168115305564,0.000525077378438673,0.17352222956335,17,0.566666666666667
2026-01-05,2025-12-31,515180.SH,易方达中证红利ETF,000922.CSI,中证红利指数,5,2025-12-26,2026-01-05,5513.7509,5525.1164,0.000452523799156744,0.00206130095576129,0.00508355501023776,0.13654338032455,0.000281457000365872,0.405484144778613,18,0.6
2026-01-05,2025-12-31,159766.SZ,富国中证旅游主题ETF,930633.CSI,中证旅游主题指数,5,2025-12-26,2026-01-05,3273.0827,3277.0989,0.00170940410694943,0.00122703896238252,0.0348262896846802,0.0926733932458248,0.000113713864288824,0.0352331234102806,19,0.633333333333333
2026-01-05,2025-12-31,515650.SH,富国中证消费50ETF,931139.CSI,中证消费50指数,5,2025-12-26,2026-01-05,16121.9039,16133.038,-0.00049839935816868,0.000690619424917882,0.0150796728846366,0.0308562487317009,2.13099247542104e-05,0.0457980375437385,20,0.666666666666667
2026-01-05,2025-12-31,512880.SH,国泰中证全指证券公司ETF,399975.SZ,中证全指证券公司指数,5,2025-12-26,2026-01-05,864.4545,868.5435,0.000234541543029586,0.00473015063256654,0.0235018952229783,0.00256046896159023,1.2111403878333e-05,0.201266773921355,21,0.7
2026-01-05,2025-12-31,159745.SZ,国泰中证全指建筑材料ETF,931009.CSI,中证全指建筑材料指数,5,2025-12-26,2026-01-05,6364.7793,6371.1778,-0.000393394545023076,0.00100529801559657,0.0207974626809269,0.00713968265530485,7.17750880536719e-06,0.0483375318912588,22,0.733333333333333
2026-01-05,2025-12-31,159865.SZ,国泰中证畜牧养殖ETF,930707.CSI,中证畜牧养殖指数,5,2025-12-26,2026-01-05,2215.7077,2216.1411,-0.00031828963034855,0.000195603418266632,0.0108627374222821,0.0353881532380625,6.92204373950842e-06,0.0180068255967785,23,0.766666666666667
2026-01-05,2025-12-31,560080.SH,汇添富中证中药ETF,930641.CSI,中证中药指数,5,2025-12-26,2026-01-05,9661.3786,9693.33,6.19436698269196e-05,0.00330712637635378,0.0245832123615413,0.00015443097353196,5.10722745893538e-07,0.134527836627549,24,0.8
2026-01-05,2025-12-31,510880.SH,华泰柏瑞上证红利ETF,000015.SH,上证红利指数,5,2025-12-26,2026-01-05,3040.8094,3036.4013,-0.000544157549190457,-0.00144964692624272,0.00275358676612479,0.49268501743386,-0.000714219321128837,-0.526457689322372,25,0.833333333333333
2026-01-05,2025-12-31,512690.SH,酒ETF,399987.SZ,中证酒指数,5,2025-12-26,2026-01-05,5133.6724,5096.1177,-0.00283944625924744,-0.00731536745507966,0.0293262456352442,0.193230765163854,-0.0014135540507998,-0.249447799969597,26,0.866666666666667
2026-01-05,2025-12-31,515220.SH,国泰中证煤炭ETF,399998.SZ,中证煤炭指数,5,2025-12-26,2026-01-05,1993.0443,1982.9999,-0.00237061022221784,-0.00503972741599368,0.0129942326768611,0.522828880372799,-0.00263491504228807,-0.387843402632612,27,0.9
2026-01-05,2025-12-31,515210.SH,国泰中证钢铁ETF,930606.CSI,中证钢铁指数,5,2025-12-26,2026-01-05,1168.0854,1162.1213,-0.00117570914664478,-0.00510587667648266,0.00414769010570106,0.769115544226759,-0.00392700911878767,-1.23101691456277,28,0.933333333333333
