月末交易日,收益日期,对标指数代码,对标指数,收盘价,日收益率
2024-11-29,2024-08-28,000913.SH,沪深300医药卫生指数,6875.0171,-0.00366681582401562
2024-11-29,2024-08-29,000913.SH,沪深300医药卫生指数,6967.3299,0.0134272829663216
2024-11-29,2024-08-30,000913.SH,沪深300医药卫生指数,7079.0784,0.0160389276241966
2024-11-29,2024-09-02,000913.SH,沪深300医药卫生指数,6944.1783,-0.0190561669722432
2024-11-29,2024-09-03,000913.SH,沪深300医药卫生指数,7011.1669,0.00964672810892542
2024-11-29,2024-09-04,000913.SH,沪深300医药卫生指数,7003.1365,-0.00114537281946614
2024-11-29,2024-09-05,000913.SH,沪深300医药卫生指数,7062.6806,0.0085024902770352
2024-11-29,2024-09-06,000913.SH,沪深300医药卫生指数,6938.616,-0.0175662198287715
2024-11-29,2024-09-09,000913.SH,沪深300医药卫生指数,6930.375,-0.00118770083255793
2024-11-29,2024-09-10,000913.SH,沪深300医药卫生指数,6863.738,-0.00961520841224317
2024-11-29,2024-09-11,000913.SH,沪深300医药卫生指数,6906.3404,0.00620688027427607
2024-11-29,2024-09-12,000913.SH,沪深300医药卫生指数,6829.7195,-0.0110942837396198
2024-11-29,2024-09-13,000913.SH,沪深300医药卫生指数,6789.2302,-0.00592839866996009
2024-11-29,2024-09-18,000913.SH,沪深300医药卫生指数,6773.0834,-0.00237829614320628
2024-11-29,2024-09-19,000913.SH,沪深300医药卫生指数,6845.0641,0.0106274639996311
2024-11-29,2024-09-20,000913.SH,沪深300医药卫生指数,6767.0799,-0.0113927640210119
2024-11-29,2024-09-23,000913.SH,沪深300医药卫生指数,6735.2363,-0.00470566336892231
2024-11-29,2024-09-24,000913.SH,沪深300医药卫生指数,6962.8771,0.0337984875155755
2024-11-29,2024-09-25,000913.SH,沪深300医药卫生指数,7060.2097,0.0139787904629252
2024-11-29,2024-09-26,000913.SH,沪深300医药卫生指数,7366.2828,0.0433518426513591
2024-11-29,2024-09-27,000913.SH,沪深300医药卫生指数,7919.9642,0.0751642877463243
2024-11-29,2024-09-30,000913.SH,沪深300医药卫生指数,8766.6451,0.106904637270961
2024-11-29,2024-10-08,000913.SH,沪深300医药卫生指数,9548.6932,0.089207227061125
2024-11-29,2024-10-09,000913.SH,沪深300医药卫生指数,8743.6455,-0.0843097252302545
2024-11-29,2024-10-10,000913.SH,沪深300医药卫生指数,8733.4884,-0.00116165505566301
2024-11-29,2024-10-11,000913.SH,沪深300医药卫生指数,8301.4888,-0.0494647247713755
2024-11-29,2024-10-14,000913.SH,沪深300医药卫生指数,8358.4152,0.00685737237879547
2024-11-29,2024-10-15,000913.SH,沪深300医药卫生指数,8109.9608,-0.0297250607986068
2024-11-29,2024-10-16,000913.SH,沪深300医药卫生指数,7945.8215,-0.0202392223646752
2024-11-29,2024-10-17,000913.SH,沪深300医药卫生指数,7884.1284,-0.00776421921886872
2024-11-29,2024-10-18,000913.SH,沪深300医药卫生指数,8208.4833,0.0411402356156452
2024-11-29,2024-10-21,000913.SH,沪深300医药卫生指数,8251.1066,0.00519259142550732
2024-11-29,2024-10-22,000913.SH,沪深300医药卫生指数,8330.1764,0.0095829327910999
2024-11-29,2024-10-23,000913.SH,沪深300医药卫生指数,8354.7869,0.00295437921338593
2024-11-29,2024-10-24,000913.SH,沪深300医药卫生指数,8240.0363,-0.0137347129703571
